ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Number_Object_Number	Parent_bf1
1	1	26.7376237624	27.8821782178	1	1
1	2	26.828358209	82.7139303483	2	2
1	3	27.7682926829	138.281504065	3	3
1	4	27.5570776256	192.934931507	4	4
1	5	27.8335067638	244.928199792	5	5
1	6	27.3768898488	302.742980562	6	6
1	7	27.3420738975	357.858164482	7	7
1	8	27.9727891156	412.756235828	8	8
1	9	27.2066381156	467.186295503	9	9
1	10	28.1623155505	522.543700341	10	10
1	11	27.0012195122	578.463414634	11	11
1	12	27.6679389313	632.038167939	12	12
1	13	30.0470035253	687.815511163	13	13
1	14	27.229216152	742.437054632	14	14
1	15	28.7316561845	799.315513627	15	15
2	1	631.972805933	28.30407911	1	1
2	2	797.812010444	28.4921671018	2	2
2	3	82.5602739726	27.4726027397	3	3
2	4	137.018544936	27.5720399429	4	4
2	5	192.284090909	28.7159090909	5	5
2	6	247.340369393	27.790237467	6	6
2	7	357.222222222	27.1253561254	7	7
2	8	466.139769452	28.4380403458	8	8
2	9	521.727424749	26.4632107023	9	9
2	10	575.437810945	26.192371476	10	10
2	11	687.086175943	26.644524237	11	11
2	12	742.252696456	27.5392912173	12	12
2	13	411.881034483	27.4482758621	13	13
2	14	302.58456486	28.4400656814	14	14
2	15	27.0545073375	27.498951782	15	15
2	16	358.894243641	81.4953145917	16	16
2	17	631.967741935	81.8516129032	17	17
2	18	137.506756757	82.1445945946	18	18
2	19	247.212074303	80.9458204334	19	19
2	20	300.24005891	82.1973490427	20	20
2	21	522.441301273	82.1838755304	21	21
2	22	687.308201058	82.0873015873	22	22
2	23	26.7275590551	83.3637795276	23	23
2	24	191.612752722	82.4603421462	24	24
2	25	412.160771704	81.6479099678	25	25
2	26	83.3495495495	81.8918918919	26	26
2	27	467.116928447	82.3298429319	27	27
2	28	796.509966777	83.8073089701	28	28
2	29	577.976058932	83.2449355433	29	29
2	30	742.597785978	83.9575645756	30	30
2	31	356.372773537	137.567430025	31	31
2	32	82.9576271186	137.36299435	32	32
