ImageNumber	ObjectNumber	Location_Center_X	Location_Center_Y	Number_Object_Number	Parent_bf1
1	1	27.0	27.0	1	1
1	2	27.0	82.0	2	2
1	3	27.0	137.0	3	3
1	4	27.0	192.0	4	4
1	5	27.0	247.0	5	5
1	6	27.0	302.0	6	6
1	7	27.0	357.0	7	7
1	8	27.0	412.0	8	8
1	9	27.0	467.0	9	9
1	10	27.0	522.0	10	10
1	11	27.0	577.0	11	11
1	12	27.0	632.0	12	12
1	13	27.0	687.0	13	13
1	14	27.0	742.0	14	14
1	15	27.0	797.0	15	15
1	16	82.0	27.0	16	0
1	17	82.0	82.0	17	0
1	18	82.0	137.0	18	0
1	19	82.0	192.0	19	0
1	20	82.0	247.0	20	0
1	21	82.0	302.0	21	0
1	22	82.0	357.0	22	0
1	23	82.0	412.0	23	0
1	24	82.0	467.0	24	0
1	25	82.0	522.0	25	0
1	26	82.0	577.0	26	0
1	27	82.0	632.0	27	0
1	28	82.0	687.0	28	0
1	29	82.0	742.0	29	0
1	30	82.0	797.0	30	0
1	31	137.0	27.0	31	0
1	32	137.0	82.0	32	0
1	33	137.0	137.0	33	0
1	34	137.0	192.0	34	0
1	35	137.0	247.0	35	0
1	36	137.0	302.0	36	0
1	37	137.0	357.0	37	0
1	38	137.0	412.0	38	0
1	39	137.0	467.0	39	0
1	40	137.0	522.0	40	0
1	41	137.0	577.0	41	0
1	42	137.0	632.0	42	0
1	43	137.0	687.0	43	0
1	44	137.0	742.0	44	0
1	45	137.0	797.0	45	0
1	46	192.0	27.0	46	0
1	47	192.0	82.0	47	0
1	48	192.0	137.0	48	0
1	49	192.0	192.0	49	0
1	50	192.0	247.0	50	0
1	51	192.0	302.0	51	0
1	52	192.0	357.0	52	0
1	53	192.0	412.0	53	0
1	54	192.0	467.0	54	0
1	55	192.0	522.0	55	0
1	56	192.0	577.0	56	0
1	57	192.0	632.0	57	0
1	58	192.0	687.0	58	0
1	59	192.0	742.0	59	0
1	60	192.0	797.0	60	0
1	61	247.0	27.0	61	0
1	62	247.0	82.0	62	0
1	63	247.0	137.0	63	0
1	64	247.0	192.0	64	0
1	65	247.0	247.0	65	0
1	66	247.0	302.0	66	0
1	67	247.0	357.0	67	0
1	68	247.0	412.0	68	0
1	69	247.0	467.0	69	0
1	70	247.0	522.0	70	0
1	71	247.0	577.0	71	0
1	72	247.0	632.0	72	0
1	73	247.0	687.0	73	0
1	74	247.0	742.0	74	0
1	75	247.0	797.0	75	0
1	76	302.0	27.0	76	0
1	77	302.0	82.0	77	0
1	78	302.0	137.0	78	0
1	79	302.0	192.0	79	0
1	80	302.0	247.0	80	0
1	81	302.0	302.0	81	0
1	82	302.0	357.0	82	0
1	83	302.0	412.0	83	0
1	84	302.0	467.0	84	0
1	85	302.0	522.0	85	0
1	86	302.0	577.0	86	0
1	87	302.0	632.0	87	0
1	88	302.0	687.0	88	0
1	89	302.0	742.0	89	0
1	90	302.0	797.0	90	0
1	91	357.0	27.0	91	0
1	92	357.0	82.0	92	0
1	93	357.0	137.0	93	0
1	94	357.0	192.0	94	0
1	95	357.0	247.0	95	0
1	96	357.0	302.0	96	0
1	97	357.0	357.0	97	0
1	98	357.0	412.0	98	0
1	99	357.0	467.0	99	0
1	100	357.0	522.0	100	0
1	101	357.0	577.0	101	0
1	102	357.0	632.0	102	0
1	103	357.0	687.0	103	0
1	104	357.0	742.0	104	0
1	105	357.0	797.0	105	0
1	106	412.0	27.0	106	0
1	107	412.0	82.0	107	0
1	108	412.0	137.0	108	0
1	109	412.0	192.0	109	0
1	110	412.0	247.0	110	0
1	111	412.0	302.0	111	0
1	112	412.0	357.0	112	0
1	113	412.0	412.0	113	0
1	114	412.0	467.0	114	0
1	115	412.0	522.0	115	0
1	116	412.0	577.0	116	0
1	117	412.0	632.0	117	0
1	118	412.0	687.0	118	0
1	119	412.0	742.0	119	0
1	120	412.0	797.0	120	0
1	121	467.0	27.0	121	0
1	122	467.0	82.0	122	0
1	123	467.0	137.0	123	0
1	124	467.0	192.0	124	0
1	125	467.0	247.0	125	0
1	126	467.0	302.0	126	0
1	127	467.0	357.0	127	0
1	128	467.0	412.0	128	0
1	129	467.0	467.0	129	0
1	130	467.0	522.0	130	0
1	131	467.0	577.0	131	0
1	132	467.0	632.0	132	0
1	133	467.0	687.0	133	0
1	134	467.0	742.0	134	0
1	135	467.0	797.0	135	0
1	136	522.0	27.0	136	0
1	137	522.0	82.0	137	0
1	138	522.0	137.0	138	0
1	139	522.0	192.0	139	0
1	140	522.0	247.0	140	0
1	141	522.0	302.0	141	0
1	142	522.0	357.0	142	0
1	143	522.0	412.0	143	0
1	144	522.0	467.0	144	0
1	145	522.0	522.0	145	0
1	146	522.0	577.0	146	0
1	147	522.0	632.0	147	0
1	148	522.0	687.0	148	0
1	149	522.0	742.0	149	0
1	150	522.0	797.0	150	0
1	151	577.0	27.0	151	0
1	152	577.0	82.0	152	0
1	153	577.0	137.0	153	0
1	154	577.0	192.0	154	0
1	155	577.0	247.0	155	0
1	156	577.0	302.0	156	0
1	157	577.0	357.0	157	0
1	158	577.0	412.0	158	0
1	159	577.0	467.0	159	0
1	160	577.0	522.0	160	0
1	161	577.0	577.0	161	0
1	162	577.0	632.0	162	0
1	163	577.0	687.0	163	0
1	164	577.0	742.0	164	0
1	165	577.0	797.0	165	0
1	166	632.0	27.0	166	0
1	167	632.0	82.0	167	0
1	168	632.0	137.0	168	0
1	169	632.0	192.0	169	0
1	170	632.0	247.0	170	0
1	171	632.0	302.0	171	0
1	172	632.0	357.0	172	0
1	173	632.0	412.0	173	0
1	174	632.0	467.0	174	0
1	175	632.0	522.0	175	0
1	176	632.0	577.0	176	0
1	177	632.0	632.0	177	0
1	178	632.0	687.0	178	0
1	179	632.0	742.0	179	0
1	180	632.0	797.0	180	0
1	181	687.0	27.0	181	0
1	182	687.0	82.0	182	0
1	183	687.0	137.0	183	0
1	184	687.0	192.0	184	0
1	185	687.0	247.0	185	0
1	186	687.0	302.0	186	0
1	187	687.0	357.0	187	0
1	188	687.0	412.0	188	0
1	189	687.0	467.0	189	0
1	190	687.0	522.0	190	0
1	191	687.0	577.0	191	0
1	192	687.0	632.0	192	0
1	193	687.0	687.0	193	0
1	194	687.0	742.0	194	0
1	195	687.0	797.0	195	0
1	196	742.0	27.0	196	0
1	197	742.0	82.0	197	0
1	198	742.0	137.0	198	0
1	199	742.0	192.0	199	0
1	200	742.0	247.0	200	0
1	201	742.0	302.0	201	0
1	202	742.0	357.0	202	0
1	203	742.0	412.0	203	0
1	204	742.0	467.0	204	0
1	205	742.0	522.0	205	0
1	206	742.0	577.0	206	0
1	207	742.0	632.0	207	0
1	208	742.0	687.0	208	0
1	209	742.0	742.0	209	0
1	210	742.0	797.0	210	0
1	211	797.0	27.0	211	0
1	212	797.0	82.0	212	0
1	213	797.0	137.0	213	0
1	214	797.0	192.0	214	0
1	215	797.0	247.0	215	0
1	216	797.0	302.0	216	0
1	217	797.0	357.0	217	0
1	218	797.0	412.0	218	0
1	219	797.0	467.0	219	0
1	220	797.0	522.0	220	0
1	221	797.0	577.0	221	0
1	222	797.0	632.0	222	0
1	223	797.0	687.0	223	0
1	224	797.0	742.0	224	0
1	225	797.0	797.0	225	0
2	1	27.0	27.0	1	15
2	2	27.0	82.0	2	23
2	3	27.0	137.0	3	36
2	4	27.0	192.0	4	60
2	5	27.0	247.0	5	66
2	6	27.0	302.0	6	80
2	7	27.0	357.0	7	102
2	8	27.0	412.0	8	115
2	9	27.0	467.0	9	123
2	10	27.0	522.0	10	137
2	11	27.0	577.0	11	153
2	12	27.0	632.0	12	167
2	13	27.0	687.0	13	185
2	14	27.0	742.0	14	199
2	15	27.0	797.0	15	217
2	16	82.0	27.0	16	3
2	17	82.0	82.0	17	26
2	18	82.0	137.0	18	32
2	19	82.0	192.0	19	55
2	20	82.0	247.0	20	61
2	21	82.0	302.0	21	86
2	22	82.0	357.0	22	95
2	23	82.0	412.0	23	120
2	24	82.0	467.0	24	129
2	25	82.0	522.0	25	151
2	26	82.0	577.0	26	163
2	27	82.0	632.0	27	174
2	28	82.0	687.0	28	186
2	29	82.0	742.0	29	208
2	30	82.0	797.0	30	220
2	31	137.0	27.0	31	4
2	32	137.0	82.0	32	18
2	33	137.0	137.0	33	40
2	34	137.0	192.0	34	52
2	35	137.0	247.0	35	67
2	36	137.0	302.0	36	81
2	37	137.0	357.0	37	98
2	38	137.0	412.0	38	121
2	39	137.0	467.0	39	132
2	40	137.0	522.0	40	140
2	41	137.0	577.0	41	154
2	42	137.0	632.0	42	168
2	43	137.0	687.0	43	187
2	44	137.0	742.0	44	205
2	45	137.0	797.0	45	224
2	46	192.0	27.0	46	5
2	47	192.0	82.0	47	24
2	48	192.0	137.0	48	33
2	49	192.0	192.0	49	53
2	50	192.0	247.0	50	69
2	51	192.0	302.0	51	82
2	52	192.0	357.0	52	99
2	53	192.0	412.0	53	107
2	54	192.0	467.0	54	126
2	55	192.0	522.0	55	138
2	56	192.0	577.0	56	155
2	57	192.0	632.0	57	175
2	58	192.0	687.0	58	191
2	59	192.0	742.0	59	209
2	60	192.0	797.0	60	221
2	61	247.0	27.0	61	6
2	62	247.0	82.0	62	19
2	63	247.0	137.0	63	41
2	64	247.0	192.0	64	46
2	65	247.0	247.0	65	71
2	66	247.0	302.0	66	78
2	67	247.0	357.0	67	96
2	68	247.0	412.0	68	111
2	69	247.0	467.0	69	133
2	70	247.0	522.0	70	144
2	71	247.0	577.0	71	159
2	72	247.0	632.0	72	176
2	73	247.0	687.0	73	183
2	74	247.0	742.0	74	198
2	75	247.0	797.0	75	225
2	76	302.0	27.0	76	14
2	77	302.0	82.0	77	20
2	78	302.0	137.0	78	34
2	79	302.0	192.0	79	54
2	80	302.0	247.0	80	72
2	81	302.0	302.0	81	87
2	82	302.0	357.0	82	103
2	83	302.0	412.0	83	116
2	84	302.0	467.0	84	134
2	85	302.0	522.0	85	145
2	86	302.0	577.0	86	156
2	87	302.0	632.0	87	169
2	88	302.0	687.0	88	192
2	89	302.0	742.0	89	206
2	90	302.0	797.0	90	214
2	91	357.0	27.0	91	7
2	92	357.0	82.0	92	16
2	93	357.0	137.0	93	31
2	94	357.0	192.0	94	56
2	95	357.0	247.0	95	62
2	96	357.0	302.0	96	83
2	97	357.0	357.0	97	106
2	98	357.0	412.0	98	108
2	99	357.0	467.0	99	127
2	100	357.0	522.0	100	146
2	101	357.0	577.0	101	164
2	102	357.0	632.0	102	170
2	103	357.0	687.0	103	188
2	104	357.0	742.0	104	200
2	105	357.0	797.0	105	215
2	106	412.0	27.0	106	13
2	107	412.0	82.0	107	25
2	108	412.0	137.0	108	42
2	109	412.0	192.0	109	57
2	110	412.0	247.0	110	74
2	111	412.0	302.0	111	77
2	112	412.0	357.0	112	100
2	113	412.0	412.0	113	118
2	114	412.0	467.0	114	128
2	115	412.0	522.0	115	141
2	116	412.0	577.0	116	157
2	117	412.0	632.0	117	181
2	118	412.0	687.0	118	182
2	119	412.0	742.0	119	201
2	120	412.0	797.0	120	218
2	121	467.0	27.0	121	8
2	122	467.0	82.0	122	27
2	123	467.0	137.0	123	45
2	124	467.0	192.0	124	48
2	125	467.0	247.0	125	73
2	126	467.0	302.0	126	91
2	127	467.0	357.0	127	92
2	128	467.0	412.0	128	117
2	129	467.0	467.0	129	135
2	130	467.0	522.0	130	150
2	131	467.0	577.0	131	160
2	132	467.0	632.0	132	177
2	133	467.0	687.0	133	189
2	134	467.0	742.0	134	197
2	135	467.0	797.0	135	219
2	136	522.0	27.0	136	9
2	137	522.0	82.0	137	21
2	138	522.0	137.0	138	35
2	139	522.0	192.0	139	49
2	140	522.0	247.0	140	64
2	141	522.0	302.0	141	79
2	142	522.0	357.0	142	93
2	143	522.0	412.0	143	112
2	144	522.0	467.0	144	136
2	145	522.0	522.0	145	139
2	146	522.0	577.0	146	161
2	147	522.0	632.0	147	178
2	148	522.0	687.0	148	190
2	149	522.0	742.0	149	210
2	150	522.0	797.0	150	226
2	151	577.0	27.0	151	10
2	152	577.0	82.0	152	29
2	153	577.0	137.0	153	43
2	154	577.0	192.0	154	58
2	155	577.0	247.0	155	75
2	156	577.0	302.0	156	88
2	157	577.0	357.0	157	97
2	158	577.0	412.0	158	119
2	159	577.0	467.0	159	131
2	160	577.0	522.0	160	147
2	161	577.0	577.0	161	165
2	162	577.0	632.0	162	171
2	163	577.0	687.0	163	194
2	164	577.0	742.0	164	207
2	165	577.0	797.0	165	212
2	166	632.0	27.0	166	1
2	167	632.0	82.0	167	17
2	168	632.0	137.0	168	37
2	169	632.0	192.0	169	47
2	170	632.0	247.0	170	68
2	171	632.0	302.0	171	89
2	172	632.0	357.0	172	104
2	173	632.0	412.0	173	109
2	174	632.0	467.0	174	124
2	175	632.0	522.0	175	142
2	176	632.0	577.0	176	162
2	177	632.0	632.0	177	179
2	178	632.0	687.0	178	193
2	179	632.0	742.0	179	202
2	180	632.0	797.0	180	222
2	181	687.0	27.0	181	11
2	182	687.0	82.0	182	22
2	183	687.0	137.0	183	44
2	184	687.0	192.0	184	59
2	185	687.0	247.0	185	63
2	186	687.0	302.0	186	84
2	187	687.0	357.0	187	94
2	188	687.0	412.0	188	113
2	189	687.0	467.0	189	125
2	190	687.0	522.0	190	148
2	191	687.0	577.0	191	158
2	192	687.0	632.0	192	172
2	193	687.0	687.0	193	195
2	194	687.0	742.0	194	203
2	195	687.0	797.0	195	223
2	196	742.0	27.0	196	12
2	197	742.0	82.0	197	30
2	198	742.0	137.0	198	38
2	199	742.0	192.0	199	50
2	200	742.0	247.0	200	65
2	201	742.0	302.0	201	85
2	202	742.0	357.0	202	105
2	203	742.0	412.0	203	110
2	204	742.0	467.0	204	122
2	205	742.0	522.0	205	143
2	206	742.0	577.0	206	166
2	207	742.0	632.0	207	173
2	208	742.0	687.0	208	196
2	209	742.0	742.0	209	204
2	210	742.0	797.0	210	213
2	211	797.0	27.0	211	2
2	212	797.0	82.0	212	28
2	213	797.0	137.0	213	39
2	214	797.0	192.0	214	51
2	215	797.0	247.0	215	70
2	216	797.0	302.0	216	90
2	217	797.0	357.0	217	101
2	218	797.0	412.0	218	114
2	219	797.0	467.0	219	130
2	220	797.0	522.0	220	149
2	221	797.0	577.0	221	152
2	222	797.0	632.0	222	180
2	223	797.0	687.0	223	184
2	224	797.0	742.0	224	211
2	225	797.0	797.0	225	216
3	1	27.0	27.0	1	7
3	2	27.0	82.0	2	25
3	3	27.0	137.0	3	32
3	4	27.0	192.0	4	55
3	5	27.0	247.0	5	64
3	6	27.0	302.0	6	89
3	7	27.0	357.0	7	105
3	8	27.0	412.0	8	120
3	9	27.0	467.0	9	137
3	10	27.0	522.0	10	141
3	11	27.0	577.0	11	165
3	12	27.0	632.0	12	172
3	13	27.0	687.0	13	187
3	14	27.0	742.0	14	207
3	15	27.0	797.0	15	219
3	16	82.0	27.0	16	8
3	17	82.0	82.0	17	19
3	18	82.0	137.0	18	44
3	19	82.0	192.0	19	56
3	20	82.0	247.0	20	65
3	21	82.0	302.0	21	77
3	22	82.0	357.0	22	100
3	23	82.0	412.0	23	116
3	24	82.0	467.0	24	134
3	25	82.0	522.0	25	146
3	26	82.0	577.0	26	154
3	27	82.0	632.0	27	176
3	28	82.0	687.0	28	183
3	29	82.0	742.0	29	208
3	30	82.0	797.0	30	217
3	31	137.0	27.0	31	1
3	32	137.0	82.0	32	16
3	33	137.0	137.0	33	33
3	34	137.0	192.0	34	47
3	35	137.0	247.0	35	74
3	36	137.0	302.0	36	78
3	37	137.0	357.0	37	95
3	38	137.0	412.0	38	109
3	39	137.0	467.0	39	132
3	40	137.0	522.0	40	147
3	41	137.0	577.0	41	158
3	42	137.0	632.0	42	173
3	43	137.0	687.0	43	188
3	44	137.0	742.0	44	200
3	45	137.0	797.0	45	218
3	46	192.0	27.0	46	9
3	47	192.0	82.0	47	21
3	48	192.0	137.0	48	40
3	49	192.0	192.0	49	61
3	50	192.0	247.0	50	71
3	51	192.0	302.0	51	87
3	52	192.0	357.0	52	96
3	53	192.0	412.0	53	110
3	54	192.0	467.0	54	124
3	55	192.0	522.0	55	148
3	56	192.0	577.0	56	163
3	57	192.0	632.0	57	180
3	58	192.0	687.0	58	189
3	59	192.0	742.0	59	204
3	60	192.0	797.0	60	214
3	61	247.0	27.0	61	2
3	62	247.0	82.0	62	22
3	63	247.0	137.0	63	34
3	64	247.0	192.0	64	50
3	65	247.0	247.0	65	72
3	66	247.0	302.0	66	90
3	67	247.0	357.0	67	101
3	68	247.0	412.0	68	117
3	69	247.0	467.0	69	126
3	70	247.0	522.0	70	152
3	71	247.0	577.0	71	159
3	72	247.0	632.0	72	177
3	73	247.0	687.0	73	193
3	74	247.0	742.0	74	199
3	75	247.0	797.0	75	220
3	76	302.0	27.0	76	12
3	77	302.0	82.0	77	17
3	78	302.0	137.0	78	37
3	79	302.0	192.0	79	51
3	80	302.0	247.0	80	67
3	81	302.0	302.0	81	91
3	82	302.0	357.0	82	97
3	83	302.0	412.0	83	121
3	84	302.0	467.0	84	127
3	85	302.0	522.0	85	142
3	86	302.0	577.0	86	155
3	87	302.0	632.0	87	169
3	88	302.0	687.0	88	190
3	89	302.0	742.0	89	212
3	90	302.0	797.0	90	224
3	91	357.0	27.0	91	10
3	92	357.0	82.0	92	23
3	93	357.0	137.0	93	38
3	94	357.0	192.0	94	57
3	95	357.0	247.0	95	68
3	96	357.0	302.0	96	79
3	97	357.0	357.0	97	106
3	98	357.0	412.0	98	115
3	99	357.0	467.0	99	135
3	100	357.0	522.0	100	138
3	101	357.0	577.0	101	160
3	102	357.0	632.0	102	178
3	103	357.0	687.0	103	191
3	104	357.0	742.0	104	209
3	105	357.0	797.0	105	213
3	106	412.0	27.0	106	3
3	107	412.0	82.0	107	28
3	108	412.0	137.0	108	35
3	109	412.0	192.0	109	60
3	110	412.0	247.0	110	75
3	111	412.0	302.0	111	80
3	112	412.0	357.0	112	92
3	113	412.0	412.0	113	111
3	114	412.0	467.0	114	125
3	115	412.0	522.0	115	143
3	116	412.0	577.0	116	153
3	117	412.0	632.0	117	174
3	118	412.0	687.0	118	194
3	119	412.0	742.0	119	205
3	120	412.0	797.0	120	221
3	121	467.0	27.0	121	4
3	122	467.0	82.0	122	30
3	123	467.0	137.0	123	41
3	124	467.0	192.0	124	52
3	125	467.0	247.0	125	66
3	126	467.0	302.0	126	88
3	127	467.0	357.0	127	98
3	128	467.0	412.0	128	122
3	129	467.0	467.0	129	136
3	130	467.0	522.0	130	140
3	131	467.0	577.0	131	161
3	132	467.0	632.0	132	181
3	133	467.0	687.0	133	197
3	134	467.0	742.0	134	201
3	135	467.0	797.0	135	222
3	136	522.0	27.0	136	13
3	137	522.0	82.0	137	18
3	138	522.0	137.0	138	36
3	139	522.0	192.0	139	58
3	140	522.0	247.0	140	69
3	141	522.0	302.0	141	81
3	142	522.0	357.0	142	102
3	143	522.0	412.0	143	112
3	144	522.0	467.0	144	133
3	145	522.0	522.0	145	139
3	146	522.0	577.0	146	166
3	147	522.0	632.0	147	170
3	148	522.0	687.0	148	196
3	149	522.0	742.0	149	210
3	150	522.0	797.0	150	225
3	151	577.0	27.0	151	14
3	152	577.0	82.0	152	26
3	153	577.0	137.0	153	45
3	154	577.0	192.0	154	48
3	155	577.0	247.0	155	62
3	156	577.0	302.0	156	82
3	157	577.0	357.0	157	93
3	158	577.0	412.0	158	108
3	159	577.0	467.0	159	128
3	160	577.0	522.0	160	149
3	161	577.0	577.0	161	162
3	162	577.0	632.0	162	182
3	163	577.0	687.0	163	195
3	164	577.0	742.0	164	198
3	165	577.0	797.0	165	215
3	166	632.0	27.0	166	11
3	167	632.0	82.0	167	20
3	168	632.0	137.0	168	42
3	169	632.0	192.0	169	49
3	170	632.0	247.0	170	63
3	171	632.0	302.0	171	83
3	172	632.0	357.0	172	103
3	173	632.0	412.0	173	118
3	174	632.0	467.0	174	123
3	175	632.0	522.0	175	150
3	176	632.0	577.0	176	167
3	177	632.0	632.0	177	175
3	178	632.0	687.0	178	184
3	179	632.0	742.0	179	211
3	180	632.0	797.0	180	226
3	181	687.0	27.0	181	5
3	182	687.0	82.0	182	27
3	183	687.0	137.0	183	31
3	184	687.0	192.0	184	53
3	185	687.0	247.0	185	73
3	186	687.0	302.0	186	85
3	187	687.0	357.0	187	94
3	188	687.0	412.0	188	113
3	189	687.0	467.0	189	129
3	190	687.0	522.0	190	151
3	191	687.0	577.0	191	156
3	192	687.0	632.0	192	179
3	193	687.0	687.0	193	185
3	194	687.0	742.0	194	206
3	195	687.0	797.0	195	223
3	196	742.0	27.0	196	6
3	197	742.0	82.0	197	24
3	198	742.0	137.0	198	43
3	199	742.0	192.0	199	59
3	200	742.0	247.0	200	70
3	201	742.0	302.0	201	84
3	202	742.0	357.0	202	99
3	203	742.0	412.0	203	114
3	204	742.0	467.0	204	130
3	205	742.0	522.0	205	144
3	206	742.0	577.0	206	164
3	207	742.0	632.0	207	168
3	208	742.0	687.0	208	186
3	209	742.0	742.0	209	202
3	210	742.0	797.0	210	216
3	211	797.0	27.0	211	15
3	212	797.0	82.0	212	29
3	213	797.0	137.0	213	39
3	214	797.0	192.0	214	54
3	215	797.0	247.0	215	76
3	216	797.0	302.0	216	86
3	217	797.0	357.0	217	104
3	218	797.0	412.0	218	119
3	219	797.0	467.0	219	131
3	220	797.0	522.0	220	145
3	221	797.0	577.0	221	157
3	222	797.0	632.0	222	171
3	223	797.0	687.0	223	192
3	224	797.0	742.0	224	203
3	225	797.0	797.0	225	227
4	1	27.0	27.0	1	1
4	2	27.0	82.0	2	8
4	3	27.0	137.0	3	12
4	4	27.0	192.0	4	19
4	5	27.0	247.0	5	22
4	6	27.0	302.0	6	29
4	7	27.0	357.0	7	32
4	8	27.0	412.0	8	36
4	9	27.0	467.0	9	44
4	10	27.0	522.0	10	47
4	11	27.0	577.0	11	51
4	12	27.0	632.0	12	55
4	13	27.0	687.0	13	60
4	14	27.0	742.0	14	61
4	15	27.0	797.0	15	65
4	16	82.0	27.0	16	2
4	17	82.0	82.0	17	9
4	18	82.0	137.0	18	11
4	19	82.0	192.0	19	20
4	20	82.0	247.0	20	21
4	21	82.0	302.0	21	26
4	22	82.0	357.0	22	31
4	23	82.0	412.0	23	39
4	24	82.0	467.0	24	41
4	25	82.0	522.0	25	45
4	26	82.0	577.0	26	52
4	27	82.0	632.0	27	53
4	28	82.0	687.0	28	58
4	29	82.0	742.0	29	62
4	30	82.0	797.0	30	66
4	31	137.0	27.0	31	3
4	32	137.0	82.0	32	6
4	33	137.0	137.0	33	13
4	34	137.0	192.0	34	18
4	35	137.0	247.0	35	24
4	36	137.0	302.0	36	30
4	37	137.0	357.0	37	33
4	38	137.0	412.0	38	38
4	39	137.0	467.0	39	43
4	40	137.0	522.0	40	48
4	41	137.0	577.0	41	49
4	42	137.0	632.0	42	56
4	43	137.0	687.0	43	59
4	44	137.0	742.0	44	63
4	45	137.0	797.0	45	67
4	46	192.0	27.0	46	4
4	47	192.0	82.0	47	10
4	48	192.0	137.0	48	15
4	49	192.0	192.0	49	16
4	50	192.0	247.0	50	23
4	51	192.0	302.0	51	27
4	52	192.0	357.0	52	35
4	53	192.0	412.0	53	40
4	54	192.0	467.0	54	42
4	55	192.0	522.0	55	46
4	56	192.0	577.0	56	50
4	57	192.0	632.0	57	54
4	58	192.0	687.0	58	57
4	59	192.0	742.0	59	64
4	60	192.0	797.0	60	68
4	61	247.0	27.0	61	5
4	62	247.0	82.0	62	7
4	63	247.0	137.0	63	14
4	64	247.0	192.0	64	17
4	65	247.0	247.0	65	25
4	66	247.0	302.0	66	28
4	67	247.0	357.0	67	34
4	68	247.0	412.0	68	37
4	69	247.0	467.0	69	0
4	70	247.0	522.0	70	0
4	71	247.0	577.0	71	0
4	72	247.0	632.0	72	0
4	73	247.0	687.0	73	0
4	74	247.0	742.0	74	0
4	75	247.0	797.0	75	0
4	76	302.0	27.0	76	0
4	77	302.0	82.0	77	0
4	78	302.0	137.0	78	0
4	79	302.0	192.0	79	0
4	80	302.0	247.0	80	0
4	81	302.0	302.0	81	0
4	82	302.0	357.0	82	0
4	83	302.0	412.0	83	0
4	84	302.0	467.0	84	0
4	85	302.0	522.0	85	0
4	86	302.0	577.0	86	0
4	87	302.0	632.0	87	0
4	88	302.0	687.0	88	0
4	89	302.0	742.0	89	0
4	90	302.0	797.0	90	0
4	91	357.0	27.0	91	0
4	92	357.0	82.0	92	0
4	93	357.0	137.0	93	0
4	94	357.0	192.0	94	0
4	95	357.0	247.0	95	0
4	96	357.0	302.0	96	0
4	97	357.0	357.0	97	0
4	98	357.0	412.0	98	0
4	99	357.0	467.0	99	0
4	100	357.0	522.0	100	0
4	101	357.0	577.0	101	0
4	102	357.0	632.0	102	0
4	103	357.0	687.0	103	0
4	104	357.0	742.0	104	0
4	105	357.0	797.0	105	0
4	106	412.0	27.0	106	0
4	107	412.0	82.0	107	0
4	108	412.0	137.0	108	0
4	109	412.0	192.0	109	0
4	110	412.0	247.0	110	0
4	111	412.0	302.0	111	0
4	112	412.0	357.0	112	0
4	113	412.0	412.0	113	0
4	114	412.0	467.0	114	0
4	115	412.0	522.0	115	0
4	116	412.0	577.0	116	0
4	117	412.0	632.0	117	0
4	118	412.0	687.0	118	0
4	119	412.0	742.0	119	0
4	120	412.0	797.0	120	0
4	121	467.0	27.0	121	0
