ImageNumber	ObjectNumber	AreaShape_Area	AreaShape_Center_X	AreaShape_Center_Y	AreaShape_Compactness	AreaShape_Eccentricity	AreaShape_EulerNumber	AreaShape_Extent	AreaShape_FormFactor	AreaShape_MajorAxisLength	AreaShape_MaxFeretDiameter	AreaShape_MaximumRadius	AreaShape_MeanRadius	AreaShape_MedianRadius	AreaShape_MinFeretDiameter	AreaShape_MinorAxisLength	AreaShape_Orientation	AreaShape_Perimeter	AreaShape_Solidity	Children_BF_cells_on_grid_pre_Count	Children_BF_on_grid_rect_Count	Location_Center_X	Location_Center_Y	Number_Object_Number
1	1	1010	27.0	28.0	1.00190012034	0.33003621524	1.0	0.779922779923	0.90819418565	36.9191471289	36.6196668472	17.4642491966	6.22981411496	5.38516480713	34.0	34.8505034815	27.9432049465	118.216	0.961904761905	1	1	26.7376237624	27.8821782178	1
1	2	804	28.0	83.0	1.00735044228	0.458637936145	1.0	0.788235294118	0.913861541877	33.9626015803	33.5410196625	14.8660687473	5.57716682564	5.0	29.0	30.1799566894	7.54141998357	105.146	0.960573476703	1	1	26.828358209	82.7139303483	2
1	3	984	28.0	138.0	1.00729036752	0.455349171831	1.0	0.805896805897	0.901052372303	37.5292618019	36.8781778292	16.4924225025	6.12825747573	5.38516480713	32.0	33.4127874232	-89.0519357892	117.146	0.964705882353	1	1	27.7682926829	138.281504065	3
1	4	876	28.0	189.0	1.04154330354	0.640611582621	1.0	0.816402609506	0.872600077222	38.2409756395	36.6742416418	13.9283882772	5.56247597393	5.0	28.0	29.363910295	-85.2256723122	112.318	0.957900492072	1	1	27.5570776256	192.934931507	4
1	5	961	28.0	245.0	1.02287663349	0.575755251103	1.0	0.790296052632	0.897866935701	38.7395115138	37.6961536499	15.1327459504	5.95491389864	5.09901951359	30.0744175045	31.6742805773	76.6048129065	115.974	0.964375313598	1	1	27.8335067638	244.928199792	5
1	6	926	25.0	303.0	1.0220027615	0.56115421267	1.0	0.807323452485	0.88135435694	37.8255744662	36.6742416418	15.0	5.83754109635	5.0	29.7060805141	31.3086543511	-9.62554870498	114.904	0.959585492228	1	1	27.3768898488	302.742980562	6
1	7	839	29.0	357.0	1.01657054478	0.527540121602	1.0	0.749107142857	0.881114728618	35.5306354649	34.7131099154	14.7648230602	5.58376684008	5.0	29.0688837075	30.1843449122	-20.1777620586	109.388	0.955580865604	1	1	27.3420738975	357.858164482	7
1	8	882	28.0	412.0	1.01679573649	0.541710157428	1.0	0.816666666667	0.920474707308	36.5925203459	35.902646142	15.0	5.79071024569	5.0	29.0	30.7584046223	89.0281128415	109.732	0.967635765222	1	1	27.9727891156	412.756235828	8
1	9	934	28.0	465.0	1.01700473789	0.526048718838	1.0	0.786195286195	0.894315443267	37.4735402894	36.7695526217	15.1327459504	5.85936837063	5.09901951359	30.0757453559	31.869538521	-74.1753557019	114.56	0.96239052035	1	1	27.2066381156	467.186295503	9
1	10	881	28.0	522.0	1.00170401414	0.32065717681	1.0	0.785204991087	0.896185880318	34.4285058124	34.4818792991	16.1245154966	5.83650119893	5.0	32.0	32.6105195933	58.5359980228	111.146	0.960741548528	1	1	28.1623155505	522.543700341	10
1	11	820	27.0	578.0	1.01365328958	0.517146183034	1.0	0.803921568627	0.911612181477	34.9668274087	34.205262753	14.7648230602	5.5924816249	5.0	28.9342217657	29.9280057583	-76.6816557316	106.318	0.961876832845	1	1	27.0012195122	578.463414634	11
1	12	786	27.0	631.0	1.00667071329	0.435302179582	1.0	0.744318181818	0.909418133798	33.3761798015	32.7566787083	14.7648230602	5.48904002834	5.0	28.9913780286	30.0480542213	55.6092558953	104.216	0.957369062119	1	1	27.6679389313	632.038167939	12
1	13	851	30.0	688.0	1.00043368121	0.232135392968	1.0	0.78145087236	0.927316347276	33.3896740561	33.0151480384	16.1245154966	5.77553013487	5.0	31.1126983722	32.4775844783	-36.7813822229	107.388	0.964305949008	1	1	30.0470035253	687.815511163	13
1	14	842	27.0	742.0	1.00069836502	0.055587870511	1.0	0.750445632799	0.913387944013	32.7923332169	33.0605505096	15.6524758425	5.72098351161	5.0	31.1126983722	32.7416296771	60.1488475846	107.63	0.959544159544	1	1	27.229216152	742.437054632	14
